Developer,Repo Name,Number of Stars
coding-horror,basic-computer-games,"1,018"
iperov,DeepFaceLab,"24,267"
jart,cosmopolitan,"3,619"
alievk,avatarify,"11,727"
benawad,dogehouse,"2,778"
input-output-hk,cardano-node,778
AliaksandrSiarohin,first-order-model,"9,957"
tailwindlabs,headlessui,"5,127"
kuchin,awesome-cto,"4,279"
deepjyoti30,ytmdl-web-v2,333
jopohl,urh,"6,686"
google,monster-mash,359
chriswalz,bit,"5,269"
orkestral,venom,"1,991"
binhnguyennus,awesome-scalability,"29,356"
vosen,ZLUDA,883
AI4Finance-LLC,FinRL-Library,"1,504"
BillDietrich,fake_contacts,418
apparition47,MailTrackerBlocker,701
dwelcaslu,machine-learning-books,315
bitcoinbook,bitcoinbook,"15,508"
home-assistant,core,"40,734"
engindemirog,NetCoreBackend,584
dypsilon,frontend-dev-bookmarks,"29,433"
vitejs,awesome-vite,986
